geometry_type,surface_area,volume,frontal_area,length,width,height,rear_wing_angle,slant_angle,velocity,reynolds,drag,lift
sedan,9.631,2.87,2.093,4.519,1.812,1.495,4.3,15.5,48.46,14445299,0.2485,0.25518
fsae,6.779,1.284,1.552,3.805,1.526,1.199,22.7,0.5,49.27,12366250,0.90906,-2.33789
sedan,8.122,2.665,1.936,4.378,1.668,1.497,1.5,12.2,35.57,10272128,0.25128,0.17165
cylinder,4.292,1.241,1.546,2.479,0.163,0.609,0.0,0.0,33.13,5417498,0.29721,-0.01435
sphere,6.537,1.375,2.33,0.933,0.16,0.247,0.0,0.0,16.23,998852,0.10162,-0.02314
cylinder,2.397,0.388,1.813,2.211,0.715,0.778,0.0,0.0,42.66,6221719,0.29402,-0.01366
airfoil,0.692,0.169,0.199,1.372,0.829,0.041,0.0,11.7,51.07,4621902,0.04121,1.28357
flat_plate,5.972,0.046,2.677,0.024,1.169,1.68,0.0,0.0,16.21,25662,1.25222,-0.00035
fsae,8.147,1.002,1.235,3.408,1.521,1.02,31.7,3.5,28.91,6499029,0.92983,-2.71616
sedan,9.329,3.297,2.224,4.535,1.802,1.307,3.2,12.4,43.75,13087484,0.25828,0.22565
sedan,11.775,3.364,2.131,4.288,1.856,1.468,2.8,15.2,36.47,10315525,0.25431,0.19406
sphere,7.075,3.775,0.427,1.083,0.703,0.653,0.0,0.0,10.55,753671,0.10555,-0.02228
ahmed_body,4.523,0.915,0.101,1.141,0.372,0.283,0.0,4.4,47.27,3557722,0.26198,0.0188
cylinder,5.358,1.718,0.912,1.022,0.95,0.337,0.0,0.0,39.27,2647358,0.30827,-0.00082
fsae,6.508,0.801,1.373,3.834,1.463,1.22,18.5,3.9,40.28,10186908,0.89957,-2.19405
ahmed_body,4.633,0.931,0.106,1.087,0.361,0.296,0.0,11.5,32.39,2322423,0.2655,0.04803
suv,15.082,6.327,3.084,4.561,1.991,1.68,2.8,6.7,20.55,6182622,0.3742,0.12961
sphere,3.116,0.18,2.682,1.093,0.125,1.27,0.0,0.0,14.09,1015856,0.09901,0.00257
wedge,2.837,0.922,0.368,1.459,0.564,0.449,0.0,16.1,19.83,1908441,0.47115,0.12952
flat_plate,3.703,0.041,0.765,0.043,1.034,0.608,0.0,0.0,5.02,14239,1.27439,0.00954
sphere,8.56,3.125,0.946,1.208,0.167,1.459,0.0,0.0,10.21,813567,0.09978,-0.00957
sphere,2.075,3.966,0.877,0.931,0.773,0.184,0.0,0.0,43.96,2699654,0.09635,0.00447
sedan,8.09,2.804,2.004,4.581,1.807,1.386,2.8,13.5,33.16,10020182,0.24651,0.17325
sphere,5.135,3.025,1.931,1.19,0.623,1.163,0.0,0.0,26.19,2055811,0.09943,-0.00329
airfoil,2.054,0.202,0.071,0.956,0.778,0.173,0.0,9.3,65.18,4110296,0.01446,1.03028
fsae,7.052,1.096,1.444,3.254,1.495,1.059,15.2,1.6,24.16,5185794,0.86342,-2.17185
airfoil,1.029,0.041,0.037,1.44,1.273,0.081,0.0,9.1,78.39,7446016,0.01411,0.98693
cylinder,7.833,1.733,1.932,2.722,0.685,0.56,0.0,0.0,38.01,6824751,0.30897,-0.01622
truck,51.832,40.239,9.022,10.299,2.47,3.785,0.0,0.9,26.18,17785476,0.65523,0.07819
fsae,7.136,1.147,1.431,3.751,1.693,1.103,34.4,0.4,40.0,9897098,0.96587,-2.91775
fsae,7.214,1.13,1.142,4.282,1.378,1.12,23.0,4.0,16.21,4578577,0.88195,-2.47303
sphere,10.064,2.297,2.696,0.213,0.874,0.54,0.0,0.0,35.33,496391,0.10977,-0.00711
sphere,1.345,0.342,1.369,1.383,1.104,1.047,0.0,0.0,28.92,2638282,0.10053,0.01436
airfoil,1.423,0.485,0.167,0.986,1.399,0.218,0.0,9.1,69.85,4543015,0.01438,1.03295
sedan,10.354,3.931,2.01,4.005,1.633,1.413,4.3,17.9,38.43,10152516,0.23905,0.22996
flat_plate,5.217,0.042,1.767,0.041,1.656,1.36,0.0,0.0,33.47,90519,1.23471,-0.00609
cylinder,6.894,0.334,0.689,1.324,0.632,0.234,0.0,0.0,47.72,4167631,0.28876,-0.00342
sedan,10.656,3.008,2.37,4.345,1.69,1.404,0.9,18.1,30.94,8867698,0.29167,0.18979
suv,17.049,5.944,3.004,4.738,2.059,1.87,2.1,7.6,20.83,6510062,0.37475,0.13703
truck,52.209,36.612,8.374,10.399,2.497,4.074,0.0,0.2,30.43,20873454,0.69962,0.05473
sedan,9.454,3.56,2.215,4.927,1.612,1.417,2.7,13.3,49.94,16230500,0.25287,0.22716
sedan,8.227,3.043,1.927,4.057,1.895,1.462,4.7,14.8,49.07,13131728,0.25853,0.24604
wedge,2.309,0.442,1.488,1.561,0.612,0.327,0.0,54.7,41.51,4274216,0.83684,0.31031
wedge,4.003,1.862,0.39,2.116,0.669,0.484,0.0,50.2,18.1,2526359,0.81038,0.3008
sedan,11.365,3.123,1.971,4.895,1.711,1.419,4.8,14.0,49.72,16054050,0.25668,0.25509
sphere,1.574,3.237,0.108,0.574,0.281,0.371,0.0,0.0,42.57,1611819,0.09738,0.00263
sedan,8.773,4.099,1.907,4.552,1.871,1.303,0.7,13.7,30.97,9299172,0.24869,0.17575
flat_plate,4.084,0.042,0.6,0.035,1.798,0.725,0.0,0.0,28.67,66191,1.23755,-0.01365
sedan,12.97,3.482,2.152,4.095,1.848,1.357,1.8,17.0,39.06,10550838,0.24041,0.21364
fsae,6.967,0.88,1.439,3.364,1.426,1.093,27.0,3.6,23.72,5263462,0.95635,-2.6609
wedge,3.694,1.094,0.205,2.288,1.08,0.709,0.0,32.5,19.88,3000359,0.63312,0.22762
cylinder,7.544,0.504,1.021,1.129,0.107,0.775,0.0,0.0,25.47,1896809,0.29377,-0.01497
fsae,6.54,1.152,1.559,3.324,1.3,1.16,28.3,0.6,49.92,10945520,0.93555,-2.65415
fsae,6.865,1.585,1.581,3.807,1.695,1.056,32.2,2.0,40.23,10102613,0.95144,-2.89553
cylinder,6.574,0.718,0.174,2.937,0.87,0.181,0.0,0.0,46.85,9076415,0.28661,0.00056
truck,45.955,33.518,9.666,14.837,2.461,4.116,0.0,1.8,27.52,26933657,0.67398,0.0575
suv,15.523,6.699,3.141,4.342,1.887,1.617,2.2,5.5,38.62,11061216,0.37471,0.1577
airfoil,2.306,0.052,0.141,1.59,1.1,0.211,0.0,3.3,73.35,7693041,0.0074,0.36573
sedan,11.181,4.181,1.983,4.26,1.691,1.422,1.2,16.0,48.76,13701689,0.25323,0.27325
suv,14.36,6.148,2.947,4.4,1.866,1.813,2.7,8.0,41.7,12102902,0.37488,0.19317
sedan,11.174,4.491,1.975,4.042,1.722,1.326,3.1,18.1,47.42,12643248,0.30274,0.26019
wedge,5.465,0.29,0.532,1.505,1.115,0.563,0.0,56.1,47.12,4677810,0.85291,0.33202
cylinder,7.443,0.867,1.424,1.501,0.596,0.492,0.0,0.0,47.54,4706962,0.30413,0.01031
sphere,11.137,4.23,1.988,1.247,0.599,1.299,0.0,0.0,14.3,1176260,0.09626,0.00833
sphere,8.596,4.535,0.239,0.859,0.108,0.81,0.0,0.0,18.63,1055618,0.09616,0.00655
flat_plate,3.37,0.02,1.265,0.039,1.883,1.204,0.0,0.0,16.3,41933,1.2646,-0.00543
sedan,9.792,3.435,1.893,4.249,1.829,1.316,2.1,18.1,29.68,8318623,0.28745,0.20528
airfoil,1.584,0.12,0.057,0.667,0.653,0.212,0.0,3.7,51.84,2280823,0.00721,0.40166
suv,16.189,6.729,2.723,4.346,1.969,1.634,2.3,2.4,33.7,9660963,0.37305,0.17981
suv,14.985,6.734,2.767,4.876,1.888,1.838,2.4,9.5,28.17,9060483,0.3646,0.14765
suv,15.209,6.86,2.903,4.62,1.979,1.609,1.1,5.7,40.49,12339301,0.37184,0.20248
wedge,3.25,0.686,0.365,0.705,0.443,0.819,0.0,48.1,23.91,1111910,0.80666,0.27972
ahmed_body,3.879,0.713,0.11,0.912,0.42,0.25,0.0,9.0,20.28,1220011,0.26923,0.03285
wedge,2.225,1.984,0.956,1.28,1.089,0.739,0.0,28.0,49.67,4193773,0.584,0.19038
ahmed_body,4.998,0.754,0.094,1.081,0.352,0.271,0.0,32.4,49.65,3540346,0.33616,0.11878
fsae,5.978,0.824,1.405,4.106,1.436,1.273,43.5,1.8,49.95,13528674,0.95393,-3.24898
fsae,8.311,0.904,1.012,3.959,1.338,1.289,18.3,3.9,39.4,10289222,0.88813,-2.13139
flat_plate,4.071,0.03,1.187,0.018,1.999,1.691,0.0,0.0,13.25,15732,1.27855,0.00231
sphere,1.251,2.87,1.699,1.141,1.332,0.463,0.0,0.0,37.17,2797557,0.0976,-0.0145
wedge,3.995,1.49,1.36,1.016,1.14,0.905,0.0,58.1,17.78,1191588,0.8743,0.35081
cylinder,6.834,1.025,1.721,2.5,0.508,0.8,0.0,0.0,43.14,7114116,0.29631,-0.00064
sphere,6.438,2.985,0.193,0.493,0.684,1.093,0.0,0.0,46.27,1504691,0.09853,-0.00947
airfoil,0.762,0.401,0.117,1.906,1.547,0.147,0.0,7.8,53.55,6732606,0.01171,0.86302
sedan,11.671,4.346,2.267,4.868,1.669,1.314,3.4,16.6,30.43,9771322,0.24197,0.19651
sedan,12.176,2.761,2.309,4.176,1.735,1.413,3.1,19.9,42.08,11591430,0.30335,0.2503
airfoil,0.577,0.442,0.134,0.508,1.56,0.132,0.0,7.0,42.1,1410739,0.0114,0.76979
cylinder,2.761,0.208,0.774,0.832,0.806,0.331,0.0,0.0,22.42,1230438,0.30356,0.02058
sphere,3.312,3.451,2.992,0.794,1.388,1.06,0.0,0.0,45.16,2365240,0.09489,0.00655
cylinder,7.975,1.176,1.485,2.563,0.468,0.218,0.0,0.0,44.89,7589253,0.27898,-0.00222
fsae,7.227,0.953,1.126,3.833,1.565,1.298,37.4,0.9,31.3,7913780,0.941,-3.02799
sedan,11.032,4.103,1.871,4.486,1.895,1.458,1.4,16.4,44.3,13108826,0.25313,0.24497
sedan,8.959,3.266,1.831,4.5,1.696,1.364,3.4,11.1,32.56,9664908,0.26118,0.15059
wedge,3.919,0.639,0.893,0.667,0.32,0.373,0.0,31.4,11.24,494530,0.59669,0.20353
wedge,2.022,1.767,1.021,1.665,1.41,0.241,0.0,18.4,19.33,2122985,0.48371,0.14584
airfoil,2.979,0.167,0.132,0.896,0.861,0.196,0.0,8.1,42.47,2510100,0.01254,0.90154
airfoil,2.284,0.087,0.164,0.505,0.51,0.176,0.0,6.9,74.73,2489357,0.01061,0.75359
airfoil,3.522,0.435,0.146,1.089,1.81,0.179,0.0,3.3,41.62,2989722,0.00697,0.34033
fsae,8.289,1.43,1.21,4.292,1.652,1.184,19.0,4.9,31.72,8980359,0.89325,-2.25805
ahmed_body,3.765,0.893,0.097,1.159,0.4,0.281,0.0,31.9,25.29,1933451,0.33011,0.09009
fsae,6.045,1.411,1.425,4.312,1.388,1.232,32.3,2.1,33.87,9633736,0.94076,-2.78647
sedan,9.746,3.211,2.183,4.04,1.806,1.315,2.7,16.7,45.11,12021398,0.24575,0.231
airfoil,1.972,0.186,0.195,1.273,0.44,0.036,0.0,7.5,78.98,6632028,0.0116,0.86141
sedan,12.524,3.453,2.331,4.773,1.624,1.49,1.5,19.0,44.93,14145837,0.31421,0.25517
ahmed_body,4.037,0.973,0.108,1.116,0.382,0.287,0.0,2.0,26.88,1978765,0.25534,0.02115
sphere,7.558,1.912,0.258,1.341,0.892,1.001,0.0,0.0,45.69,4041576,0.10144,0.00601
wedge,3.134,1.909,0.369,2.424,1.296,0.409,0.0,27.3,19.26,3079567,0.56932,0.18527
fsae,7.195,0.927,1.072,4.426,1.51,1.143,28.2,1.9,48.66,14206409,0.91652,-2.64643
truck,50.855,40.537,9.505,10.623,2.494,3.788,0.0,1.9,22.02,15429978,0.75617,0.09674
suv,17.837,5.961,2.997,4.396,1.821,1.822,1.1,1.3,31.52,9139968,0.36787,0.15435
sedan,11.003,4.385,2.385,4.59,1.731,1.331,1.6,13.6,44.07,13343094,0.25519,0.20962
sphere,6.138,4.485,2.795,0.743,1.471,1.484,0.0,0.0,38.98,1910431,0.0973,0.00891
suv,16.089,4.548,3.006,4.838,2.079,1.706,1.8,1.8,25.53,8147371,0.37276,0.13747
sphere,7.155,3.061,1.942,0.87,1.083,0.521,0.0,0.0,18.73,1074875,0.09829,0.00987
fsae,7.432,1.351,1.367,4.232,1.545,1.012,19.9,3.1,19.34,5398871,0.90371,-2.25018
sphere,10.145,0.236,1.525,0.558,0.967,1.444,0.0,0.0,16.5,607322,0.09927,0.01372
fsae,6.308,0.81,1.415,3.806,1.339,1.101,32.9,0.0,34.27,8603669,0.96591,-2.77526
flat_plate,1.184,0.02,1.698,0.037,0.62,1.639,0.0,0.0,12.58,30703,1.21567,-0.00157
airfoil,3.371,0.118,0.168,0.787,0.708,0.077,0.0,3.0,37.24,1933237,0.0071,0.32554
ahmed_body,4.168,0.983,0.11,1.077,0.361,0.266,0.0,39.3,50.82,3610365,0.35059,0.11472
wedge,2.222,0.365,1.342,2.319,0.958,0.935,0.0,43.1,49.37,7552047,0.72065,0.26494
wedge,2.113,0.507,1.067,1.179,0.414,0.389,0.0,15.7,37.42,2910170,0.44513,0.12096
ahmed_body,3.838,0.649,0.098,1.149,0.369,0.301,0.0,18.9,48.93,3708481,0.27617,0.08225
sphere,2.787,2.186,2.514,0.326,0.659,1.167,0.0,0.0,9.15,196761,0.43467,-0.01773
fsae,6.648,1.46,1.141,3.773,1.475,1.251,35.3,4.5,30.18,7511157,0.94853,-2.96736
suv,15.295,6.64,3.085,4.774,1.992,1.606,0.4,8.9,41.42,13043475,0.36628,0.19138
airfoil,2.205,0.088,0.108,1.618,1.825,0.197,0.0,11.9,39.12,4175208,0.04798,1.25878
sedan,10.766,4.054,1.882,4.483,1.773,1.423,4.0,12.8,22.53,6662400,0.2501,0.13397
ahmed_body,3.943,0.821,0.086,0.986,0.379,0.284,0.0,0.5,32.65,2123542,0.24907,0.01146
fsae,8.249,0.894,1.092,4.456,1.378,1.233,31.3,3.7,17.29,5082074,0.93343,-2.56179
suv,13.48,4.587,2.956,4.317,2.046,1.823,0.5,0.3,28.33,8067323,0.36841,0.15106
ahmed_body,4.61,0.638,0.106,0.931,0.413,0.282,0.0,1.8,40.43,2482871,0.25285,0.03391
cylinder,4.449,1.495,1.979,0.752,0.769,0.592,0.0,0.0,7.23,358639,0.72088,-0.00892
sedan,12.649,3.584,1.831,4.584,1.789,1.466,3.7,13.1,30.55,9237546,0.26546,0.16452
flat_plate,5.87,0.042,2.43,0.014,0.811,1.744,0.0,0.0,23.52,21720,1.25364,0.01492
ahmed_body,3.944,0.604,0.097,1.131,0.415,0.311,0.0,23.8,30.16,2250063,0.29644,0.08149
ahmed_body,4.081,0.894,0.091,0.993,0.378,0.302,0.0,38.9,22.86,1497360,0.34105,0.12069
sedan,12.706,3.72,1.998,4.394,1.792,1.343,3.2,10.7,47.37,13729801,0.26198,0.22683
sedan,12.623,3.13,1.981,4.128,1.889,1.325,1.0,13.9,20.64,5620179,0.25957,0.12245
sedan,10.917,2.845,1.843,4.631,1.691,1.326,3.0,15.6,25.03,7646038,0.24531,0.16376
fsae,7.473,1.449,1.211,3.997,1.661,1.214,34.4,0.9,24.72,6517536,0.96488,-2.90529
sphere,4.061,4.774,1.141,0.659,0.855,0.137,0.0,0.0,41.73,1813989,0.09521,-0.00793
fsae,7.614,0.811,1.495,3.536,1.497,1.041,41.0,3.1,49.68,11587631,0.95902,-3.22867
flat_plate,2.699,0.045,0.663,0.034,0.994,0.549,0.0,0.0,20.68,46380,1.25674,0.00288
ahmed_body,4.157,0.899,0.08,1.146,0.42,0.305,0.0,37.3,33.59,2539191,0.34402,0.12499
airfoil,2.364,0.04,0.191,0.96,0.767,0.117,0.0,11.0,30.46,1928865,0.02867,1.15347
wedge,2.765,0.684,0.627,1.277,0.683,0.703,0.0,57.5,36.24,3052670,0.87058,0.32992
airfoil,2.369,0.219,0.078,0.896,1.064,0.038,0.0,4.2,42.11,2488823,0.0078,0.4632
truck,30.537,24.526,7.426,8.006,2.569,3.566,0.0,1.4,29.54,15600082,0.72469,0.05617
fsae,5.605,0.858,1.244,4.331,1.354,1.236,16.8,3.4,29.52,8433451,0.86822,-2.17866
cylinder,1.973,2.053,0.111,2.478,0.167,0.328,0.0,0.0,36.45,5957988,0.28262,-0.00832
airfoil,0.528,0.25,0.173,0.53,1.388,0.153,0.0,11.5,70.2,2454222,0.03753,1.31388
wedge,3.831,1.499,0.789,0.842,1.224,0.91,0.0,48.8,26.84,1490718,0.79758,0.29242
ahmed_body,4.94,0.918,0.081,1.188,0.417,0.266,0.0,24.0,21.36,1673858,0.29223,0.09874
flat_plate,2.826,0.009,2.992,0.041,0.905,1.069,0.0,0.0,7.91,21392,1.183,-0.00925
fsae,6.876,1.22,1.511,3.808,1.571,1.074,17.8,4.2,38.0,9545119,0.8992,-2.27782
ahmed_body,3.626,0.62,0.092,1.117,0.357,0.252,0.0,8.4,50.25,3702457,0.26755,0.03818
suv,17.993,5.156,3.021,4.563,1.806,1.809,2.1,4.9,21.4,6441174,0.38344,0.11835
suv,14.843,6.05,2.723,4.594,1.811,1.706,0.9,4.6,30.71,9306183,0.36332,0.12842
truck,37.637,20.592,7.065,10.427,2.535,4.013,0.0,4.3,22.01,15138408,0.69331,0.09462
airfoil,3.17,0.089,0.03,0.959,1.296,0.043,0.0,9.4,74.95,4741230,0.01506,1.06382
wedge,5.971,1.433,0.921,1.71,1.087,0.472,0.0,58.9,35.21,3971577,0.89084,0.34435
fsae,5.872,1.439,1.24,4.114,1.685,1.263,38.6,0.8,35.43,9614711,0.93637,-3.01638
truck,44.699,37.03,7.668,12.081,2.507,4.135,0.0,0.6,24.06,19173408,0.66479,0.08141
fsae,8.184,0.947,1.118,3.419,1.62,1.08,37.9,1.0,24.45,5514152,0.95304,-3.10884
flat_plate,3.442,0.003,0.476,0.043,0.872,0.901,0.0,0.0,11.18,31711,1.24557,-0.00551
cylinder,4.727,0.303,1.516,0.683,0.54,0.177,0.0,0.0,15.88,715438,0.29938,-0.01271
sphere,8.42,1.276,2.611,0.685,0.168,1.049,0.0,0.0,32.25,1457206,0.09726,0.01052
cylinder,2.495,1.251,0.547,2.074,0.92,0.95,0.0,0.0,18.84,2577451,0.30137,0.00962
wedge,3.591,0.408,0.269,1.138,1.145,0.453,0.0,33.8,31.03,2329297,0.63505,0.21987
suv,13.512,4.479,3.155,5.022,1.864,1.744,0.7,6.5,22.72,7526375,0.37709,0.12899
airfoil,2.081,0.291,0.027,1.835,1.813,0.06,0.0,5.1,61.78,7477988,0.00878,0.5533
fsae,6.348,1.561,1.125,3.609,1.614,1.061,34.5,0.1,41.49,9877138,0.93927,-2.9846
sedan,11.53,4.175,1.936,4.249,1.606,1.389,0.3,10.9,38.86,10891566,0.264,0.18862
flat_plate,2.401,0.035,1.153,0.014,1.583,1.995,0.0,0.0,36.88,34058,1.26472,0.00034
sphere,8.496,0.998,2.002,0.301,0.279,0.922,0.0,0.0,44.63,886123,0.09932,0.00023
sedan,10.046,2.695,1.935,4.217,1.859,1.368,2.5,20.0,48.81,13577294,0.31955,0.27659
airfoil,1.718,0.462,0.172,1.183,0.452,0.172,0.0,9.7,23.72,1850974,0.01483,1.08712
airfoil,1.058,0.249,0.154,0.855,0.888,0.159,0.0,2.7,25.63,1445491,0.00696,0.28327
sedan,11.9,2.894,2.261,4.83,1.785,1.387,2.2,16.0,32.95,10497922,0.23987,0.18969
sphere,10.421,3.839,2.189,0.89,0.979,0.134,0.0,0.0,14.15,830706,0.09942,-0.01227
airfoil,1.376,0.199,0.114,0.783,1.382,0.049,0.0,4.7,28.08,1450306,0.0082,0.50937
wedge,2.847,1.13,0.596,2.172,0.496,0.21,0.0,48.7,20.14,2885493,0.7702,0.298
ahmed_body,4.611,0.865,0.091,1.045,0.362,0.269,0.0,6.9,37.98,2618015,0.26427,0.03574
sphere,2.739,2.676,1.423,0.627,0.761,0.903,0.0,0.0,42.68,1765195,0.09857,-0.01124
sphere,1.328,1.537,2.771,0.241,0.169,0.52,0.0,0.0,6.47,102854,0.4533,0.006
ahmed_body,4.817,0.816,0.109,1.182,0.385,0.261,0.0,33.8,24.18,1885274,0.33757,0.11671
fsae,8.313,1.525,1.204,4.319,1.334,1.266,22.4,3.4,39.86,11355893,0.88178,-2.4779
fsae,7.068,1.218,1.171,3.616,1.339,1.096,42.2,4.8,16.4,3911768,0.96359,-3.07762
wedge,4.976,1.392,0.615,1.813,1.164,0.653,0.0,19.7,37.67,4504994,0.47734,0.137
sphere,3.974,1.315,0.632,1.388,1.19,0.929,0.0,0.0,36.29,3322594,0.09907,-0.00716
suv,12.284,5.304,2.687,4.91,1.984,1.883,2.5,2.1,40.07,12977817,0.37281,0.16786
sedan,10.296,3.578,2.205,4.348,1.684,1.348,1.2,10.1,44.3,12705567,0.27076,0.20154
fsae,7.609,0.898,1.223,3.725,1.553,1.188,30.1,0.9,31.43,7722741,0.91462,-2.81682
flat_plate,4.934,0.008,1.742,0.031,1.647,1.909,0.0,0.0,37.03,75721,1.25988,-0.00914
sphere,1.476,4.606,2.591,0.119,0.955,1.2,0.0,0.0,28.2,221359,0.44492,0.01021
wedge,3.063,1.296,0.988,2.319,1.04,0.585,0.0,11.6,29.65,4535511,0.4171,0.1125
airfoil,3.92,0.153,0.109,1.74,0.341,0.242,0.0,8.4,32.91,3777269,0.01276,0.91493
fsae,7.759,0.951,1.276,3.59,1.573,1.281,20.5,1.9,24.58,5820726,0.9127,-2.28721
sphere,4.971,0.308,2.29,0.253,1.2,0.396,0.0,0.0,46.04,768346,0.10205,-0.00875
sphere,2.622,0.951,1.452,0.441,1.37,1.32,0.0,0.0,24.98,726661,0.09754,0.01525
cylinder,6.904,1.928,1.201,1.966,0.173,0.935,0.0,0.0,9.89,1282569,0.29928,-0.0124
cylinder,3.473,0.462,1.719,2.883,0.402,0.235,0.0,0.0,7.13,1355923,0.31059,0.00119
sedan,8.235,4.429,2.338,4.003,1.797,1.473,3.6,10.7,35.47,9365858,0.2646,0.16354
fsae,7.871,0.971,1.109,4.123,1.55,1.186,25.0,0.6,41.71,11343689,0.85017,-2.40751
truck,51.872,23.916,6.082,12.485,2.431,3.594,0.0,3.0,29.78,24525284,0.65093,0.07397
airfoil,1.632,0.214,0.071,1.503,0.415,0.242,0.0,3.2,38.09,3776337,0.00698,0.32766
wedge,1.927,1.154,1.137,1.962,0.343,0.669,0.0,57.6,29.91,3870938,0.8581,0.33748
airfoil,1.912,0.383,0.094,1.34,0.945,0.161,0.0,11.8,29.35,2594261,0.04498,1.24478
wedge,1.57,1.357,0.928,0.866,0.351,0.372,0.0,46.3,43.4,2479182,0.74653,0.28698
sedan,8.434,4.119,1.895,4.959,1.614,1.363,1.1,10.5,30.29,9908187,0.25994,0.14594
airfoil,2.741,0.16,0.178,1.398,0.741,0.223,0.0,4.6,79.19,7302613,0.00838,0.50808
suv,13.353,4.058,2.887,5.074,2.05,1.681,1.2,2.5,43.29,14489015,0.35702,0.17203
wedge,2.258,1.219,0.748,0.704,1.362,0.587,0.0,40.3,27.08,1257541,0.71921,0.26718
ahmed_body,4.381,0.68,0.086,1.091,0.367,0.267,0.0,32.7,41.43,2981539,0.32263,0.11555
fsae,8.06,1.131,1.233,3.88,1.46,1.214,38.2,5.0,20.29,5192955,0.95931,-3.00738
wedge,1.487,1.658,0.762,1.568,1.492,0.921,0.0,23.3,12.75,1318734,0.53197,0.16334
sedan,8.976,4.266,2.204,4.003,1.746,1.361,3.8,14.5,40.84,10783807,0.25566,0.22696
suv,15.112,4.301,2.723,5.17,1.832,1.741,2.5,1.5,42.59,14524426,0.36496,0.18027
ahmed_body,4.338,0.864,0.098,1.001,0.364,0.306,0.0,1.8,38.83,2563907,0.257,0.04491
sedan,10.684,3.769,2.34,4.207,1.859,1.459,2.1,11.0,44.58,12371244,0.26408,0.2055
wedge,4.68,0.993,0.342,1.024,1.01,0.943,0.0,38.3,45.48,3072000,0.70007,0.25799
suv,15.817,6.054,3.003,4.417,1.855,1.874,0.1,9.8,33.88,9871237,0.37575,0.18047
sedan,8.465,4.157,1.944,4.336,1.634,1.32,3.7,15.2,40.96,11715208,0.24437,0.22541
sedan,8.867,3.503,1.855,4.376,1.616,1.361,1.9,18.2,34.77,10036512,0.30773,0.2239
cylinder,6.352,0.49,0.701,2.554,0.152,0.495,0.0,0.0,6.18,1041142,0.29436,-0.00667
fsae,5.84,0.913,1.369,3.333,1.661,1.051,18.3,2.1,19.78,4348730,0.87214,-2.22789
airfoil,0.793,0.19,0.185,1.94,1.656,0.202,0.0,5.5,49.09,6281966,0.00893,0.59387
cylinder,3.083,1.642,0.655,2.025,0.511,0.383,0.0,0.0,48.07,6420960,0.29164,0.01404
fsae,8.173,1.344,1.085,3.34,1.364,1.011,19.0,1.9,38.85,8559301,0.89509,-2.18459
sedan,10.561,3.946,2.14,4.915,1.835,1.335,2.8,12.6,40.56,13149894,0.25879,0.18842
fsae,8.06,1.579,1.408,3.563,1.328,1.063,27.4,3.0,34.94,8211822,0.92413,-2.63254
suv,15.608,5.898,2.957,4.966,1.936,1.739,0.6,6.6,39.99,13099627,0.37557,0.17437
wedge,1.703,0.235,0.68,0.898,0.766,0.831,0.0,49.0,10.89,645067,0.81678,0.29765
suv,14.89,5.521,2.925,4.34,1.997,1.772,2.5,9.9,37.33,10686821,0.36537,0.15538
fsae,5.897,1.596,1.061,4.284,1.639,1.125,39.3,3.4,39.48,11156485,0.99374,-3.17352
flat_plate,4.939,0.041,0.882,0.031,0.778,1.959,0.0,0.0,16.22,33168,1.24324,0.00065
ahmed_body,3.672,0.977,0.111,1.025,0.363,0.29,0.0,0.2,21.59,1459746,0.25424,0.02105
flat_plate,5.876,0.028,1.001,0.041,1.567,1.636,0.0,0.0,17.98,48627,1.28156,-0.00583
suv,15.315,6.645,2.867,5.177,2.039,1.687,1.8,1.6,40.88,13960142,0.36434,0.16505
suv,17.46,6.807,2.65,5.006,2.028,1.817,2.8,9.4,27.28,9008158,0.38669,0.1291
sedan,11.611,4.055,1.831,4.842,1.615,1.417,3.4,12.6,36.6,11689789,0.25962,0.18886
wedge,2.743,1.318,1.162,2.473,0.531,0.679,0.0,18.2,30.15,4918268,0.4619,0.14566
sedan,10.727,4.123,2.333,4.467,1.742,1.373,4.2,12.9,49.64,14626773,0.25666,0.24363
airfoil,3.053,0.179,0.148,1.866,0.95,0.092,0.0,8.9,39.69,4885326,0.0137,0.88902
sedan,10.451,4.157,2.225,4.536,1.83,1.342,0.8,11.9,40.19,12025187,0.25569,0.19723
ahmed_body,4.412,0.862,0.093,1.186,0.412,0.29,0.0,34.8,33.89,2651289,0.32241,0.11745
airfoil,2.012,0.271,0.189,1.642,0.903,0.049,0.0,1.5,64.76,7014243,0.00617,0.17013
suv,14.589,4.241,3.14,4.646,2.058,1.895,0.5,5.7,38.63,11838719,0.3716,0.18034
truck,39.326,31.265,8.834,10.092,2.495,3.629,0.0,4.2,22.95,15277797,0.75129,0.09671
cylinder,7.5,1.766,1.996,1.308,0.687,0.833,0.0,0.0,22.91,1976668,0.29137,0.01868
sphere,0.682,4.696,1.574,1.044,0.532,0.117,0.0,0.0,26.42,1819425,0.09739,-0.01225
airfoil,3.091,0.037,0.143,1.656,1.968,0.092,0.0,11.1,48.86,5337214,0.02847,1.17742
suv,12.455,4.028,3.089,4.446,1.805,1.83,2.7,5.1,33.85,9927249,0.36573,0.172
suv,13.69,5.629,2.871,4.537,1.933,1.795,2.1,9.4,37.54,11234761,0.3732,0.15501
suv,14.43,6.563,3.063,4.772,1.885,1.678,1.2,7.3,22.35,7035237,0.36923,0.12997
